INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_128_0.txt, 128, 8, 16, 0, 349.420349, 139.127121, 110.332108, 39.106613, 99.961121, 60.854507, 0.133152, 0.133123, 0.080267, 0.020508, 0.074739, 0.109589
matrix_256_0.txt, 256, 1, 16, 0, 219.432747, 98.860840, 62.638992, 4.135920, 57.932915, 53.796995, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 16, 0, 475.493618, 91.085861, 335.059875, 18.259378, 49.347881, 31.088503, 0.274861, 1.085361, 0.186949, 0.226514, 1.173971, 1.730447
matrix_256_0.txt, 256, 4, 16, 0, 663.838882, 122.534958, 460.636963, 40.246403, 80.666962, 40.420559, 0.206101, 0.806798, 0.135983, 0.102767, 0.718175, 1.330932
matrix_512_0.txt, 512, 1, 16, 0, 1878.370667, 721.730896, 587.634888, 39.134274, 569.004883, 529.870609, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 8, 16, 0, 771.689621, 280.906830, 255.295853, 85.064751, 235.486938, 150.422188, 0.344402, 0.351935, 0.245358, 0.048622, 0.246014, 0.357640
matrix_1024_0.txt, 1024, 1, 16, 0, 13914.287598, 5017.339844, 4484.500977, 191.126740, 4412.446777, 4221.320038, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 16, 0, 14047.567871, 4678.977051, 5305.360840, 494.498932, 4063.229980, 3568.731049, 0.859534, 1.072316, 0.845277, 0.386506, 1.085946, 1.182863
matrix_256_0.txt, 256, 16, 16, 0, 1161.773254, 409.553040, 390.111115, 123.173935, 362.109100, 238.935165, 0.236695, 0.241388, 0.160567, 0.033579, 0.159988, 0.225153
matrix_1024_0.txt, 1024, 4, 16, 0, 16808.616211, 5231.223145, 6939.936035, 657.652039, 4637.457031, 3979.804993, 0.675550, 0.959114, 0.646188, 0.290620, 0.951480, 1.060685
matrix_2048_0.txt, 2048, 1, 16, 0, 103753.320312, 36067.574219, 33985.988281, 798.352783, 33699.757812, 32901.405029, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 8, 16, 0, 16519.156250, 4250.689941, 8687.073242, 857.853027, 3581.393066, 2723.540039, 0.543950, 1.180359, 0.516227, 0.222797, 1.232048, 1.549939
matrix_1024_0.txt, 1024, 16, 16, 0, 20004.488281, 3706.943115, 13257.284180, 785.369324, 3040.260986, 2254.891663, 0.365513, 1.353498, 0.338267, 0.243359, 1.451338, 1.872072
matrix_128_0.txt, 128, 1, 32, 0, 34.249137, 17.789145, 8.913956, 0.819085, 7.546037, 6.726952, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 32, 0, 84.339965, 54.073997, 16.471012, 6.868629, 13.794955, 6.926327, 0.337568, 0.328975, 0.541193, 0.119238, 0.547012, 0.971222
matrix_128_0.txt, 128, 4, 32, 0, 119.975183, 64.985023, 29.651077, 13.114025, 25.339083, 12.225058, 0.276448, 0.273740, 0.300630, 0.062452, 0.297801, 0.550263
matrix_256_0.txt, 256, 1, 32, 0, 221.285095, 98.232132, 63.872925, 4.961306, 59.180038, 54.218733, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 32, 0, 192.351910, 89.760994, 54.611950, 17.078268, 47.978966, 30.900698, 1.067753, 1.094373, 1.169579, 0.290486, 1.233457, 1.754621
matrix_256_0.txt, 256, 4, 32, 0, 299.921959, 124.103882, 94.106087, 39.210758, 81.711990, 42.501232, 0.754040, 0.791530, 0.678734, 0.126521, 0.724251, 1.275704
matrix_256_0.txt, 256, 8, 32, 0, 581.845932, 215.759033, 193.127960, 63.658401, 172.958939, 109.300537, 0.436256, 0.455286, 0.330729, 0.077932, 0.342162, 0.496054
matrix_512_0.txt, 512, 1, 32, 0, 1853.987305, 711.312134, 580.598083, 38.824249, 562.077087, 523.252838, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 1, 32, 0, 13878.023926, 5005.872070, 4472.479004, 192.341400, 4399.672852, 4207.331451, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 32, 0, 13921.621582, 4653.088867, 5197.422852, 455.317596, 4071.109863, 3615.792267, 0.878755, 1.075817, 0.860519, 0.422433, 1.080706, 1.163599
